"";"animal";"Class";"Day";"Rate"
"372";"d3_s52";"within";"Day 3";0,18181214
"373";"d3_s53";"within";"Day 3";0,095867377
"374";"d3_s54";"within";"Day 3";0,016456249
"375";"d3_s55";"within";"Day 3";0,347871107
"376";"d3_s56";"within";"Day 3";0,310984886
"377";"d3_s57";"within";"Day 3";0,121359802
"378";"d3_s58";"within";"Day 3";0,097015429
"379";"d3_s59";"within";"Day 3";0,132635016
"380";"d3_s60";"within";"Day 3";0,103326075
"381";"d3_s61";"within";"Day 3";0,03158543
"382";"d3_s62";"within";"Day 3";0,273396754
"383";"d3_s63";"within";"Day 3";0,09011441
"384";"d3_s64";"within";"Day 3";0,206795157
"385";"d3_s65";"within";"Day 3";0,142390756
"386";"d3_s66";"within";"Day 3";0,068653198
"387";"d3_s67";"within";"Day 3";0,202084491
"388";"d3_s68";"within";"Day 3";0,200906567
"389";"d3_s69";"within";"Day 3";0,190014617
"390";"d3_s1";"across";"Day 3";0,372355089
"391";"d3_s2";"across";"Day 3";0,271052261
"392";"d3_s3";"across";"Day 3";0,036236472
"393";"d3_s4";"across";"Day 3";0,189981405
"394";"d3_s5";"across";"Day 3";0,192462909
"395";"d3_s6";"across";"Day 3";0,158596912
"396";"d3_s7";"across";"Day 3";0,166753148
"397";"d3_s8";"across";"Day 3";0,056841254
"398";"d3_s9";"across";"Day 3";0,033537781
"399";"d3_s10";"across";"Day 3";0,318790022
"400";"d3_s11";"across";"Day 3";0,21736494
"401";"d3_s12";"across";"Day 3";0,117214572
"402";"d3_s13";"across";"Day 3";0,305369499
"403";"d3_s14";"across";"Day 3";0,102775675
"404";"d3_s15";"across";"Day 3";0,154339143
"405";"d3_s16";"across";"Day 3";0,099110298
"406";"d3_s17";"across";"Day 3";0,073059992
"407";"d3_s18";"across";"Day 3";0,129647717
"408";"d3_s19";"across";"Day 3";0,906678391
"409";"d3_s20";"across";"Day 3";0,499081048
"410";"d3_s21";"across";"Day 3";0,119789881
"411";"d3_s22";"across";"Day 3";0,259582718
"412";"d3_s23";"across";"Day 3";0,552712415
"413";"d3_s24";"across";"Day 3";0,159332997
"414";"d3_s25";"across";"Day 3";0,152215607
"415";"d3_s26";"across";"Day 3";0,061124381
"416";"d3_s27";"across";"Day 3";0,052188976
"417";"d3_s28";"across";"Day 3";0,208196512
"418";"d3_s29";"across";"Day 3";0,295539659
"419";"d3_s30";"across";"Day 3";0,399870453
"420";"d3_s31";"across";"Day 3";0,06764396
"421";"d3_s32";"across";"Day 3";0,144706662
"422";"d3_s33";"across";"Day 3";0,10381079
"423";"d3_s34";"across";"Day 3";0,056468393
"424";"d3_s35";"across";"Day 3";0,107974058
"425";"d3_s36";"across";"Day 3";0,088883444
"426";"d3_s37";"across";"Day 3";0,061765187
"427";"d3_s38";"across";"Day 3";0,049277049
"428";"d3_s39";"across";"Day 3";0,074399439
"429";"d3_s40";"across";"Day 3";0,227620901
"430";"d3_s41";"across";"Day 3";0,455514718
"431";"d3_s42";"across";"Day 3";0,341269612
"432";"d3_s43";"across";"Day 3";0,067121189
"433";"d3_s44";"across";"Day 3";0,122041027
"434";"d3_s45";"across";"Day 3";0,176937311
"435";"d3_s46";"across";"Day 3";0,227353377
"436";"d3_s47";"across";"Day 3";0,9626878
"437";"d3_s48";"across";"Day 3";3,272724799
"438";"d3_s49";"across";"Day 3";0,500541847
"439";"d3_s50";"across";"Day 3";0,171842468
"440";"d3_s51";"across";"Day 3";0,611673135
"441";"d3_s52";"across";"Day 3";0,156572005
"442";"d3_s53";"across";"Day 3";0,083790079
"443";"d3_s54";"across";"Day 3";0,012034234
"444";"d3_s55";"across";"Day 3";0,325028508
"445";"d3_s56";"across";"Day 3";0,27338633
"446";"d3_s57";"across";"Day 3";0,15755432
"447";"d3_s58";"across";"Day 3";0,095542674
"448";"d3_s59";"across";"Day 3";0,221581827
"449";"d3_s60";"across";"Day 3";0,09736188
"450";"d3_s61";"across";"Day 3";0,043095331
"451";"d3_s62";"across";"Day 3";0,236598424
"452";"d3_s63";"across";"Day 3";0,079615394
"453";"d3_s64";"across";"Day 3";0,275586624
"454";"d3_s65";"across";"Day 3";0,1664066
"455";"d3_s66";"across";"Day 3";0,096812899
"456";"d3_s67";"across";"Day 3";0,126516715
"457";"d3_s68";"across";"Day 3";0,21561658
"458";"d3_s69";"across";"Day 3";0,192977722
