"";"Subject";"Context";"Day";"CellType";"BMROrder";"bmr";"N";"Ntt";"Perc";"animal";"trialA";"trialB";"contextA";"contextB";"isCoherent";"rot1";"rot2";"rot3";"rot4"
"147";"CMG129_CA1_TA11_TB12";"across";"2";"FI";"C_2";"3";41;153;0,26797385620915;"CMG129_CA1";11;12;1;2;1;0,405;0,268;0,17;0,157
"148";"CMG129_CA1_TA11_TB12";"across";"2";"FI";"C_1";"4";62;153;0,405228758169935;"CMG129_CA1";11;12;1;2;1;0,405;0,268;0,17;0,157
"149";"CMG129_CA1_TA11_TB12";"across";"2";"FS";"C_3";"1";1;10;0,1;"CMG129_CA1";11;12;1;2;1;0,6;0,2;0,1;0,1
"150";"CMG129_CA1_TA11_TB12";"across";"2";"FS";"C_4";"2";1;10;0,1;"CMG129_CA1";11;12;1;2;1;0,6;0,2;0,1;0,1
"151";"CMG129_CA1_TA11_TB12";"across";"2";"FS";"C_2";"3";2;10;0,2;"CMG129_CA1";11;12;1;2;1;0,6;0,2;0,1;0,1
"152";"CMG129_CA1_TA11_TB12";"across";"2";"FS";"C_1";"4";6;10;0,6;"CMG129_CA1";11;12;1;2;1;0,6;0,2;0,1;0,1
"153";"CMG129_CA1_TA11_TB12";"across";"3";"FI";"C_4";"1";21;124;0,169354838709677;"CMG129_CA1";11;12;1;2;0;0,306;0,282;0,242;0,169
"154";"CMG129_CA1_TA11_TB12";"across";"3";"FI";"C_2";"2";35;124;0,282258064516129;"CMG129_CA1";11;12;1;2;0;0,306;0,282;0,242;0,169
"155";"CMG129_CA1_TA11_TB12";"across";"3";"FI";"C_3";"3";30;124;0,241935483870968;"CMG129_CA1";11;12;1;2;0;0,306;0,282;0,242;0,169
"156";"CMG129_CA1_TA11_TB12";"across";"3";"FI";"C_1";"4";38;124;0,306451612903226;"CMG129_CA1";11;12;1;2;0;0,306;0,282;0,242;0,169
